ID_Producto,Nombre,Categoría,Subcategoría,Marca,Precio_MXN,Stock,Calificación
PROD-00059,Zapatos PremiumCorp Modelo 84,Ropa y Calzado,Zapatos,PremiumCorp,356.53,219,4.3
PROD-00060,Teléfonos BrandC Modelo 74,Electrónica,Teléfonos,BrandC,36.61,203,4.2
PROD-00061,Herramientas Essentials Modelo 80,Automotriz,Herramientas,Essentials,1308.02,134,4.2
PROD-00062,Perfumes BrandA Modelo 63,Belleza y Cuidado Personal,Perfumes,BrandA,1271.94,18,5.0
PROD-00063,Gimnasio BrandB Modelo 11,Deportes,Gimnasio,BrandB,1030.18,63,3.8
PROD-00064,Pantalones Essentials Modelo 94,Ropa y Calzado,Pantalones,Essentials,819.56,312,3.1
PROD-00065,Decoración BrandD Modelo 57,Hogar y Cocina,Decoración,BrandD,647.32,54,4.4
PROD-00066,Skincare BrandA Modelo 73,Belleza y Cuidado Personal,Skincare,BrandA,224.99,58,4.9
PROD-00067,Bloques BrandB Modelo 50,Juguetes,Bloques,BrandB,597.5,49,3.4
PROD-00068,Bloques BrandB Modelo 39,Juguetes,Bloques,BrandB,605.26,96,4.7
PROD-00069,Teléfonos BrandE Modelo 72,Electrónica,Teléfonos,BrandE,749.92,53,3.7
PROD-00070,Herramientas BrandC Modelo 48,Automotriz,Herramientas,BrandC,751.34,160,4.5
PROD-00071,Biografías BrandF Modelo 69,Libros,Biografías,BrandF,281.88,340,4.3
PROD-00072,Audio BrandE Modelo 35,Electrónica,Audio,BrandE,231.29,99,4.9
PROD-00073,Camping BrandF Modelo 58,Deportes,Camping,BrandF,1390.63,349,3.9
PROD-00074,Camisas EcoLine Modelo 55,Ropa y Calzado,Camisas,EcoLine,1244.52,31,3.7
PROD-00075,Maquillaje BrandE Modelo 19,Belleza y Cuidado Personal,Maquillaje,BrandE,1203.53,267,4.9
PROD-00076,Camping BrandE Modelo 20,Deportes,Camping,BrandE,894.99,327,3.7
PROD-00077,Ciclismo BrandE Modelo 93,Deportes,Ciclismo,BrandE,765.63,73,4.2
PROD-00078,Accesorios Essentials Modelo 12,Electrónica,Accesorios,Essentials,1335.65,141,4.9
PROD-00079,Electrodomésticos BrandB Modelo 99,Hogar y Cocina,Electrodomésticos,BrandB,1133.43,60,4.7
PROD-00080,Laptops Essentials Modelo 27,Electrónica,Laptops,Essentials,1111.0,166,3.7
PROD-00081,Radiocontrol Essentials Modelo 35,Juguetes,Radiocontrol,Essentials,379.07,30,4.7
PROD-00082,Muñecas BrandD Modelo 26,Juguetes,Muñecas,BrandD,497.38,35,3.6
PROD-00083,Teléfonos PremiumCorp Modelo 61,Electrónica,Teléfonos,PremiumCorp,456.59,81,4.3
PROD-00084,Camisas BrandB Modelo 10,Ropa y Calzado,Camisas,BrandB,1172.39,318,4.6
PROD-00085,Camisas BrandC Modelo 29,Ropa y Calzado,Camisas,BrandC,127.77,184,3.1
PROD-00086,Zapatos BrandB Modelo 80,Ropa y Calzado,Zapatos,BrandB,1320.38,290,4.6
PROD-00087,Audio BrandB Modelo 35,Electrónica,Audio,BrandB,60.89,95,3.5
PROD-00088,Accesorios BrandD Modelo 52,Electrónica,Accesorios,BrandD,1102.98,114,4.7
PROD-00089,Pantalones BrandE Modelo 17,Ropa y Calzado,Pantalones,BrandE,1405.12,288,4.0
PROD-00090,Accesorios Auto BrandF Modelo 64,Automotriz,Accesorios Auto,BrandF,428.77,146,3.3
PROD-00091,Maquillaje EcoLine Modelo 99,Belleza y Cuidado Personal,Maquillaje,EcoLine,1275.6,310,4.2
PROD-00092,Muñecas BrandF Modelo 43,Juguetes,Muñecas,BrandF,174.62,53,4.8
PROD-00093,Zapatos BrandC Modelo 43,Ropa y Calzado,Zapatos,BrandC,1360.63,100,4.4
PROD-00094,Running BrandD Modelo 32,Deportes,Running,BrandD,1221.36,336,4.2
PROD-00095,Camping BrandB Modelo 79,Deportes,Camping,BrandB,898.85,259,3.4
PROD-00096,Running BrandE Modelo 78,Deportes,Running,BrandE,115.61,184,3.0
PROD-00097,Ciclismo BrandD Modelo 87,Deportes,Ciclismo,BrandD,1000.97,204,4.6
PROD-00098,Ficción EcoLine Modelo 82,Libros,Ficción,EcoLine,113.0,307,4.2
PROD-00099,Radiocontrol Essentials Modelo 58,Juguetes,Radiocontrol,Essentials,328.39,107,4.7
PROD-00100,Ciencia PremiumCorp Modelo 71,Libros,Ciencia,PremiumCorp,1494.21,269,4.6
PROD-00101,Juegos de Mesa PremiumCorp Modelo 28,Juguetes,Juegos de Mesa,PremiumCorp,418.57,324,3.7
PROD-00102,Radiocontrol BrandB Modelo 64,Juguetes,Radiocontrol,BrandB,1311.13,260,3.7
PROD-00103,Radiocontrol BrandC Modelo 90,Juguetes,Radiocontrol,BrandC,759.09,137,3.1
PROD-00104,Camisas EcoLine Modelo 85,Ropa y Calzado,Camisas,EcoLine,189.76,164,3.8
PROD-00105,Electrodomésticos Essentials Modelo 88,Hogar y Cocina,Electrodomésticos,Essentials,389.5,172,3.9
PROD-00106,Skincare BrandE Modelo 84,Belleza y Cuidado Personal,Skincare,BrandE,1242.99,106,3.4
PROD-00107,Radiocontrol BrandC Modelo 80,Juguetes,Radiocontrol,BrandC,553.58,28,4.8
PROD-00108,Audio BrandE Modelo 42,Electrónica,Audio,BrandE,915.29,18,3.9
PROD-00109,Herramientas EcoLine Modelo 66,Automotriz,Herramientas,EcoLine,657.9,322,3.8
PROD-00110,Cabello BrandC Modelo 33,Belleza y Cuidado Personal,Cabello,BrandC,842.95,112,4.6
PROD-00111,Herramientas BrandF Modelo 56,Automotriz,Herramientas,BrandF,689.57,127,3.2
PROD-00112,Ciencia Essentials Modelo 27,Libros,Ciencia,Essentials,449.97,199,3.5
PROD-00113,Zapatos BrandA Modelo 97,Ropa y Calzado,Zapatos,BrandA,1171.94,264,3.1
PROD-00114,Pantalones BrandB Modelo 19,Ropa y Calzado,Pantalones,BrandB,1041.15,315,4.7
PROD-00115,Chaqueta PremiumCorp Modelo 23,Ropa y Calzado,Chaqueta,PremiumCorp,1315.08,66,4.9
PROD-00116,Pantalones BrandF Modelo 17,Ropa y Calzado,Pantalones,BrandF,19.5,118,3.4
PROD-00117,Decoración BrandF Modelo 83,Hogar y Cocina,Decoración,BrandF,1268.95,200,4.7
PROD-00118,Radiocontrol EcoLine Modelo 86,Juguetes,Radiocontrol,EcoLine,217.32,27,4.0
PROD-00119,Radiocontrol BrandF Modelo 15,Juguetes,Radiocontrol,BrandF,1478.14,294,4.9
PROD-00120,Accesorios BrandE Modelo 66,Electrónica,Accesorios,BrandE,1170.21,140,4.8
PROD-00121,Ficción BrandD Modelo 70,Libros,Ficción,BrandD,337.07,197,4.1
PROD-00122,Muebles BrandA Modelo 34,Hogar y Cocina,Muebles,BrandA,885.58,145,4.5
PROD-00123,Pantalones BrandB Modelo 21,Ropa y Calzado,Pantalones,BrandB,712.81,273,3.7
PROD-00124,Pantalones BrandC Modelo 88,Ropa y Calzado,Pantalones,BrandC,427.71,146,3.7
PROD-00125,No Ficción PremiumCorp Modelo 62,Libros,No Ficción,PremiumCorp,681.43,212,3.3
PROD-00126,Juegos de Mesa BrandF Modelo 34,Juguetes,Juegos de Mesa,BrandF,696.5,248,4.3
PROD-00127,Running BrandC Modelo 95,Deportes,Running,BrandC,1084.37,306,3.6
PROD-00128,Limpieza BrandB Modelo 71,Automotriz,Limpieza,BrandB,51.04,81,4.2
PROD-00129,Teléfonos BrandC Modelo 73,Electrónica,Teléfonos,BrandC,764.86,40,4.2
PROD-00130,Teléfonos BrandD Modelo 54,Electrónica,Teléfonos,BrandD,120.52,335,4.0
PROD-00131,Limpieza EcoLine Modelo 90,Automotriz,Limpieza,EcoLine,414.66,231,3.8
PROD-00132,Chaqueta BrandA Modelo 13,Ropa y Calzado,Chaqueta,BrandA,1457.51,92,4.8
PROD-00133,Accesorios Auto BrandE Modelo 27,Automotriz,Accesorios Auto,BrandE,911.18,112,4.2
PROD-00134,Limpieza Essentials Modelo 41,Automotriz,Limpieza,Essentials,455.47,175,4.7
PROD-00135,Chaqueta BrandC Modelo 50,Ropa y Calzado,Chaqueta,BrandC,312.3,62,3.7
PROD-00136,Chaqueta BrandD Modelo 52,Ropa y Calzado,Chaqueta,BrandD,1302.23,124,4.0
PROD-00137,Camping BrandC Modelo 11,Deportes,Camping,BrandC,543.57,46,4.3
PROD-00138,Muñecas EcoLine Modelo 21,Juguetes,Muñecas,EcoLine,128.68,134,3.8
PROD-00139,Ciclismo Essentials Modelo 81,Deportes,Ciclismo,Essentials,229.25,13,3.3
PROD-00140,Ficción BrandB Modelo 25,Libros,Ficción,BrandB,917.87,333,4.0
PROD-00141,Skincare EcoLine Modelo 82,Belleza y Cuidado Personal,Skincare,EcoLine,457.14,302,4.9
PROD-00142,Muñecas BrandB Modelo 60,Juguetes,Muñecas,BrandB,1133.58,174,4.4
PROD-00143,Laptops Essentials Modelo 25,Electrónica,Laptops,Essentials,930.73,174,4.8
PROD-00144,Teléfonos EcoLine Modelo 17,Electrónica,Teléfonos,EcoLine,22.16,231,3.2
PROD-00145,Accesorios BrandD Modelo 17,Electrónica,Accesorios,BrandD,1309.72,99,3.9
PROD-00146,Perfumes BrandE Modelo 37,Belleza y Cuidado Personal,Perfumes,BrandE,759.6,108,3.1
PROD-00147,Accesorios BrandD Modelo 48,Electrónica,Accesorios,BrandD,1471.6,199,3.0
PROD-00148,Accesorios BrandB Modelo 22,Electrónica,Accesorios,BrandB,560.13,124,3.5
PROD-00149,Herramientas EcoLine Modelo 10,Automotriz,Herramientas,EcoLine,287.56,14,4.2
PROD-00150,Radiocontrol BrandD Modelo 57,Juguetes,Radiocontrol,BrandD,1301.82,166,4.1
PROD-00151,Laptops BrandE Modelo 31,Electrónica,Laptops,BrandE,465.6,194,3.1
PROD-00152,Ciencia PremiumCorp Modelo 48,Libros,Ciencia,PremiumCorp,1289.69,159,3.2
PROD-00153,Chaqueta PremiumCorp Modelo 50,Ropa y Calzado,Chaqueta,PremiumCorp,478.29,203,4.8
PROD-00154,Juegos de Mesa BrandD Modelo 60,Juguetes,Juegos de Mesa,BrandD,1449.92,333,4.1
PROD-00155,Bloques BrandD Modelo 55,Juguetes,Bloques,BrandD,690.74,28,3.0
PROD-00156,Electrodomésticos BrandE Modelo 29,Hogar y Cocina,Electrodomésticos,BrandE,303.96,50,3.8
PROD-00157,Skincare BrandE Modelo 85,Belleza y Cuidado Personal,Skincare,BrandE,661.81,260,3.2
PROD-00158,Perfumes BrandF Modelo 52,Belleza y Cuidado Personal,Perfumes,BrandF,1088.59,212,3.1
PROD-00159,Cabello PremiumCorp Modelo 68,Belleza y Cuidado Personal,Cabello,PremiumCorp,504.98,159,4.1
PROD-00160,Decoración BrandD Modelo 51,Hogar y Cocina,Decoración,BrandD,1057.8,269,4.4
PROD-00161,Limpieza BrandC Modelo 30,Automotriz,Limpieza,BrandC,1142.1,200,4.1
PROD-00162,Radiocontrol PremiumCorp Modelo 48,Juguetes,Radiocontrol,PremiumCorp,1123.56,230,4.4
PROD-00163,Running EcoLine Modelo 68,Deportes,Running,EcoLine,978.19,139,3.2
PROD-00164,Juegos de Mesa PremiumCorp Modelo 94,Juguetes,Juegos de Mesa,PremiumCorp,841.41,67,3.1
PROD-00165,Bloques BrandA Modelo 95,Juguetes,Bloques,BrandA,1425.55,97,3.8
PROD-00166,Accesorios EcoLine Modelo 52,Electrónica,Accesorios,EcoLine,511.25,43,4.2
PROD-00167,Running Essentials Modelo 89,Deportes,Running,Essentials,1005.35,264,4.9
PROD-00168,Decoración BrandB Modelo 73,Hogar y Cocina,Decoración,BrandB,1060.7,4,3.6
PROD-00169,Utensilios EcoLine Modelo 26,Hogar y Cocina,Utensilios,EcoLine,333.17,343,4.1
PROD-00170,Gimnasio BrandE Modelo 39,Deportes,Gimnasio,BrandE,234.06,346,4.4
PROD-00171,Cabello BrandD Modelo 43,Belleza y Cuidado Personal,Cabello,BrandD,621.81,221,4.6
PROD-00172,Camisas PremiumCorp Modelo 66,Ropa y Calzado,Camisas,PremiumCorp,949.4,251,3.5
PROD-00173,Juegos de Mesa BrandA Modelo 65,Juguetes,Juegos de Mesa,BrandA,1092.72,115,4.9
PROD-00174,Muñecas BrandA Modelo 32,Juguetes,Muñecas,BrandA,902.63,193,3.3
PROD-00175,Ciclismo Essentials Modelo 60,Deportes,Ciclismo,Essentials,708.39,76,4.1
PROD-00176,Accesorios Auto PremiumCorp Modelo 19,Automotriz,Accesorios Auto,PremiumCorp,646.77,237,3.5
PROD-00177,Audio BrandD Modelo 82,Electrónica,Audio,BrandD,410.68,233,4.7
PROD-00178,Radiocontrol BrandD Modelo 83,Juguetes,Radiocontrol,BrandD,477.69,289,4.7
PROD-00179,Zapatos EcoLine Modelo 27,Ropa y Calzado,Zapatos,EcoLine,315.37,135,4.7
PROD-00180,Biografías Essentials Modelo 17,Libros,Biografías,Essentials,87.71,210,3.7
PROD-00181,Camping BrandD Modelo 11,Deportes,Camping,BrandD,1472.72,117,3.8
PROD-00182,Ficción BrandE Modelo 14,Libros,Ficción,BrandE,336.86,53,3.5
PROD-00183,Skincare BrandD Modelo 11,Belleza y Cuidado Personal,Skincare,BrandD,1059.21,279,4.2
PROD-00184,Utensilios BrandB Modelo 16,Hogar y Cocina,Utensilios,BrandB,1108.57,270,3.1
PROD-00185,Zapatos BrandB Modelo 67,Ropa y Calzado,Zapatos,BrandB,1124.57,294,4.7
PROD-00186,Limpieza BrandB Modelo 15,Automotriz,Limpieza,BrandB,306.9,286,4.3
PROD-00187,Pantalones BrandE Modelo 68,Ropa y Calzado,Pantalones,BrandE,808.18,340,4.7
PROD-00188,Zapatos BrandD Modelo 91,Ropa y Calzado,Zapatos,BrandD,1081.13,128,4.5
PROD-00189,Limpieza BrandA Modelo 43,Automotriz,Limpieza,BrandA,108.42,113,4.3
PROD-00190,Muñecas PremiumCorp Modelo 75,Juguetes,Muñecas,PremiumCorp,290.77,114,3.1
PROD-00191,Skincare BrandE Modelo 79,Belleza y Cuidado Personal,Skincare,BrandE,1119.79,308,4.6
PROD-00192,Decoración BrandD Modelo 56,Hogar y Cocina,Decoración,BrandD,742.23,260,4.2
PROD-00193,Ciencia Essentials Modelo 85,Libros,Ciencia,Essentials,265.42,267,4.8
PROD-00194,Audio BrandF Modelo 90,Electrónica,Audio,BrandF,117.61,206,4.2
PROD-00195,Herramientas EcoLine Modelo 68,Automotriz,Herramientas,EcoLine,558.88,186,4.9
PROD-00196,Accesorios BrandD Modelo 53,Electrónica,Accesorios,BrandD,1255.92,149,3.4
PROD-00197,Biografías BrandB Modelo 22,Libros,Biografías,BrandB,1344.16,277,3.0
PROD-00198,Camisas BrandA Modelo 77,Ropa y Calzado,Camisas,BrandA,1129.87,261,3.9
PROD-00199,Ficción BrandA Modelo 90,Libros,Ficción,BrandA,659.6,62,4.3
PROD-00200,Electrodomésticos BrandD Modelo 50,Hogar y Cocina,Electrodomésticos,BrandD,625.77,49,4.0
PROD-00201,Cabello BrandF Modelo 97,Belleza y Cuidado Personal,Cabello,BrandF,1011.86,118,3.4
PROD-00202,Maquillaje BrandA Modelo 85,Belleza y Cuidado Personal,Maquillaje,BrandA,302.08,321,3.1
PROD-00203,Bloques BrandF Modelo 24,Juguetes,Bloques,BrandF,759.59,162,4.6
PROD-00204,Chaqueta BrandD Modelo 88,Ropa y Calzado,Chaqueta,BrandD,1098.52,52,3.9
PROD-00205,Ciencia BrandB Modelo 64,Libros,Ciencia,BrandB,727.34,252,3.7
PROD-00206,Skincare BrandC Modelo 37,Belleza y Cuidado Personal,Skincare,BrandC,650.16,50,4.6
PROD-00207,Electrodomésticos BrandE Modelo 55,Hogar y Cocina,Electrodomésticos,BrandE,1222.5,30,3.8
PROD-00208,No Ficción BrandE Modelo 52,Libros,No Ficción,BrandE,79.79,318,4.2
PROD-00209,No Ficción BrandD Modelo 56,Libros,No Ficción,BrandD,430.57,157,3.2
PROD-00210,Ciclismo BrandF Modelo 83,Deportes,Ciclismo,BrandF,572.49,11,3.8
PROD-00211,Pantalones BrandA Modelo 12,Ropa y Calzado,Pantalones,BrandA,650.14,90,3.3
PROD-00212,Muebles BrandD Modelo 25,Hogar y Cocina,Muebles,BrandD,944.44,189,4.0
PROD-00213,Decoración BrandA Modelo 22,Hogar y Cocina,Decoración,BrandA,284.44,124,3.4
PROD-00214,Laptops EcoLine Modelo 38,Electrónica,Laptops,EcoLine,1441.83,42,4.4
PROD-00215,Muñecas PremiumCorp Modelo 19,Juguetes,Muñecas,PremiumCorp,299.47,125,4.7
PROD-00216,Accesorios Auto EcoLine Modelo 76,Automotriz,Accesorios Auto,EcoLine,686.81,1,3.3
PROD-00217,Audio BrandD Modelo 67,Electrónica,Audio,BrandD,1357.99,180,3.9
PROD-00218,Accesorios Auto PremiumCorp Modelo 74,Automotriz,Accesorios Auto,PremiumCorp,1099.71,182,4.4
PROD-00219,Laptops BrandE Modelo 42,Electrónica,Laptops,BrandE,1185.27,58,4.6
PROD-00220,Herramientas BrandB Modelo 91,Automotriz,Herramientas,BrandB,378.76,9,4.0
PROD-00221,Running BrandD Modelo 99,Deportes,Running,BrandD,1183.99,335,3.6
PROD-00222,Running Essentials Modelo 45,Deportes,Running,Essentials,702.17,225,3.5
PROD-00223,Cabello PremiumCorp Modelo 80,Belleza y Cuidado Personal,Cabello,PremiumCorp,1400.45,3,3.2
PROD-00224,Running BrandB Modelo 63,Deportes,Running,BrandB,799.86,193,3.2
PROD-00225,Herramientas BrandA Modelo 45,Automotriz,Herramientas,BrandA,965.2,282,4.0
PROD-00226,Audio BrandE Modelo 64,Electrónica,Audio,BrandE,806.65,131,4.5
PROD-00227,Zapatos BrandD Modelo 67,Ropa y Calzado,Zapatos,BrandD,1038.95,72,4.1
PROD-00228,Perfumes PremiumCorp Modelo 85,Belleza y Cuidado Personal,Perfumes,PremiumCorp,862.6,169,4.3
PROD-00229,Juegos de Mesa EcoLine Modelo 12,Juguetes,Juegos de Mesa,EcoLine,1343.88,269,3.7
PROD-00230,Limpieza BrandA Modelo 80,Automotriz,Limpieza,BrandA,1006.0,243,4.7
PROD-00231,Muñecas BrandC Modelo 19,Juguetes,Muñecas,BrandC,1071.64,336,3.2
PROD-00232,Accesorios Auto EcoLine Modelo 30,Automotriz,Accesorios Auto,EcoLine,1365.57,138,5.0
PROD-00233,Biografías BrandC Modelo 42,Libros,Biografías,BrandC,404.07,42,3.3
PROD-00234,Herramientas BrandF Modelo 65,Automotriz,Herramientas,BrandF,851.26,237,3.9
PROD-00235,Electrodomésticos BrandC Modelo 46,Hogar y Cocina,Electrodomésticos,BrandC,1083.97,84,3.3
PROD-00236,Camisas BrandF Modelo 78,Ropa y Calzado,Camisas,BrandF,138.37,123,4.1
PROD-00237,Camisas BrandD Modelo 96,Ropa y Calzado,Camisas,BrandD,1128.36,324,3.2
PROD-00238,No Ficción BrandB Modelo 63,Libros,No Ficción,BrandB,889.41,222,4.3
PROD-00239,Pantalones BrandC Modelo 44,Ropa y Calzado,Pantalones,BrandC,79.92,261,4.7
PROD-00240,Maquillaje BrandB Modelo 67,Belleza y Cuidado Personal,Maquillaje,BrandB,475.73,280,3.6
PROD-00241,Ciencia PremiumCorp Modelo 97,Libros,Ciencia,PremiumCorp,1269.64,122,4.8
PROD-00242,Maquillaje BrandC Modelo 17,Belleza y Cuidado Personal,Maquillaje,BrandC,358.51,31,4.3
PROD-00243,Maquillaje BrandD Modelo 26,Belleza y Cuidado Personal,Maquillaje,BrandD,785.23,56,3.2
PROD-00244,Teléfonos BrandC Modelo 96,Electrónica,Teléfonos,BrandC,916.25,273,5.0
PROD-00245,Running Essentials Modelo 69,Deportes,Running,Essentials,127.38,280,4.5
PROD-00246,Muñecas BrandE Modelo 88,Juguetes,Muñecas,BrandE,199.56,295,4.0
PROD-00247,Audio BrandC Modelo 95,Electrónica,Audio,BrandC,854.82,310,3.9
PROD-00248,Juegos de Mesa BrandE Modelo 51,Juguetes,Juegos de Mesa,BrandE,511.51,188,3.7
PROD-00249,Accesorios BrandF Modelo 54,Electrónica,Accesorios,BrandF,329.22,21,3.7
PROD-00250,Bloques EcoLine Modelo 67,Juguetes,Bloques,EcoLine,196.77,29,4.1
PROD-00251,Skincare BrandA Modelo 28,Belleza y Cuidado Personal,Skincare,BrandA,525.0,46,4.9
PROD-00252,Ciencia Essentials Modelo 39,Libros,Ciencia,Essentials,787.25,92,4.3
PROD-00253,Biografías BrandB Modelo 76,Libros,Biografías,BrandB,825.75,67,4.8
PROD-00254,Limpieza BrandD Modelo 60,Automotriz,Limpieza,BrandD,238.46,240,4.9
PROD-00255,Accesorios Essentials Modelo 86,Electrónica,Accesorios,Essentials,551.57,222,4.4
PROD-00256,Limpieza EcoLine Modelo 63,Automotriz,Limpieza,EcoLine,1356.85,4,4.9
PROD-00257,Chaqueta Essentials Modelo 44,Ropa y Calzado,Chaqueta,Essentials,356.14,82,4.2
PROD-00258,Bloques BrandC Modelo 94,Juguetes,Bloques,BrandC,508.07,191,3.1
PROD-00259,Skincare Essentials Modelo 38,Belleza y Cuidado Personal,Skincare,Essentials,70.18,326,3.8
PROD-00260,Biografías BrandE Modelo 95,Libros,Biografías,BrandE,706.35,165,4.1
PROD-00261,Muñecas EcoLine Modelo 46,Juguetes,Muñecas,EcoLine,487.79,165,4.8
PROD-00262,Muñecas PremiumCorp Modelo 74,Juguetes,Muñecas,PremiumCorp,215.64,179,3.1
PROD-00263,Pantalones BrandF Modelo 32,Ropa y Calzado,Pantalones,BrandF,715.17,125,4.4
PROD-00264,Muñecas BrandB Modelo 75,Juguetes,Muñecas,BrandB,1240.02,143,4.8
